Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Ghana,2005,All ages,Both,All causes,"Deaths per 100,000",920.041976834,850.820913821,988.777889975
Ghana,2006,All ages,Both,All causes,"Deaths per 100,000",911.6122814299999,844.898836711,977.704098114
Ghana,2007,All ages,Both,All causes,"Deaths per 100,000",902.389871329,837.2297453860001,965.0022722639999
Ghana,2008,All ages,Both,All causes,"Deaths per 100,000",886.287794525,823.893260732,947.5392123060001
Ghana,2009,All ages,Both,All causes,"Deaths per 100,000",871.757963893,811.1499722100001,932.692664703
Ghana,2010,All ages,Both,All causes,"Deaths per 100,000",856.755042004,797.114486698,916.815097295
Ghana,2011,All ages,Both,All causes,"Deaths per 100,000",822.2196684449999,763.588334312,882.9980901220001
Ghana,2012,All ages,Both,All causes,"Deaths per 100,000",784.232715996,725.525607953,843.7456167920001
Ghana,2013,All ages,Both,All causes,"Deaths per 100,000",748.764510744,687.381556557,808.4749735710001
Ghana,2014,All ages,Both,All causes,"Deaths per 100,000",719.8998781160001,657.585144009,779.999541139
Ghana,2015,All ages,Both,All causes,"Deaths per 100,000",692.294962682,630.245606984,752.547674904
Ghana,2016,All ages,Both,All causes,"Deaths per 100,000",669.818600951,608.738451412,731.80022318

"Global Burden of Disease Study 2016. Global Burden of Disease Study 2016 (GBD 2016) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2016."
"Available from from https://http://vizhub.healthdata.org/gbd-compare/"
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
